description,image,link,words,lemmatized_words,filtered_lemmatized_words,features,cluster
So Good Almond Milk 4L 4X 1000 ml Unsweetened  Lactose Free Milk  Gluten Free  Sugar Free  Vegan Milk  NonDairy ,https://m.media-amazon.com/images/I/71DOJxZhlGL._AC_UL320_.jpg,https://www.amazon.in/So-Good-Almond-Fresh-Unsweetened/dp/B08R6FKVBR/ref=sr_1_343?qid=1679216340&s=grocery&sr=1-343,"['So', 'Good', 'Almond', 'Milk', '4L', '4X', '1000', 'ml', 'Unsweetened', 'Lactose', 'Free', 'Milk', 'Gluten', 'Free', 'Sugar', 'Free', 'Vegan', 'Milk', 'NonDairy']","['So', 'Good', 'Almond', 'Milk', '4L', '4X', '1000', 'ml', 'Unsweetened', 'Lactose', 'Free', 'Milk', 'Gluten', 'Free', 'Sugar', 'Free', 'Vegan', 'Milk', 'NonDairy']","['Good', 'Almond', 'Milk', '4L', '4X', '1000', 'ml', 'Unsweetened', 'Lactose', 'Free', 'Milk', 'Gluten', 'Free', 'Sugar', 'Free', 'Vegan', 'Milk', 'NonDairy']","[17, 3, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 3, 2, 0, 0, 0, 0, 2, 3, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 4, 0, 1, 3, 13, 0, 2, 0, 4, 0, 3, 6, 2, 6, 5, 0, 0, 5, 2, 3, 2, 0, 1, 0, 1, 0]",1
Food Library Dried Lavender Flowers 200g,https://m.media-amazon.com/images/I/71NhDMQfdrL._AC_UL320_.jpg,https://www.amazon.in/Food-Library-Dried-Lavender-Flowers/dp/B078QMHQTY/ref=sr_1_8311?qid=1679216478&s=grocery&sr=1-8311,"['Food', 'Library', 'Dried', 'Lavender', 'Flowers', '200g']","['Food', 'Library', 'Dried', 'Lavender', 'Flowers', '200g']","['Food', 'Library', 'Dried', 'Lavender', 'Flowers', '200g']","[5, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 3, 4, 0, 1, 0, 2, 0, 0, 1, 0, 1, 3, 0, 0, 5, 1, 0, 0, 1, 1, 0, 1, 0]",3
SK Pharmaceuticals Ginger and Garlic Ras Ginger and Garlic Juice Sugar Free  200 ml,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71S4YxzIMqL._AC_UL320_.jpg,https://www.amazon.in/S-K-Pharmaceuticals-Ginger-Garlic-Juice/dp/B089W8K2GW/ref=sr_1_5922?qid=1679216437&s=grocery&sr=1-5922,"['SK', 'Pharmaceuticals', 'Ginger', 'and', 'Garlic', 'Ras', 'Ginger', 'and', 'Garlic', 'Juice', 'Sugar', 'Free', '200', 'ml']","['SK', 'Pharmaceuticals', 'Ginger', 'and', 'Garlic', 'Ras', 'Ginger', 'and', 'Garlic', 'Juice', 'Sugar', 'Free', '200', 'ml']","['SK', 'Pharmaceuticals', 'Ginger', 'Garlic', 'Ras', 'Ginger', 'Garlic', 'Juice', 'Sugar', 'Free', '200', 'ml']","[11, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 7, 0, 5, 0, 6, 0, 3, 1, 6, 0, 0, 4, 2, 2, 0, 0, 0, 7, 2, 1, 3, 0, 0, 0, 0, 0]",7
Paper Boat Swing Lush Lychee Juice Litchi Drink Enriched with Vitamin D No Gmos 600 ml,https://m.media-amazon.com/images/I/513G0nKsmuL._AC_UL320_.jpg,https://www.amazon.in/Paper-Boat-Lychee-Enriched-Vitamin/dp/B094K92TZY/ref=sr_1_132?qid=1679216335&s=grocery&sr=1-132,"['Paper', 'Boat', 'Swing', 'Lush', 'Lychee', 'Juice', 'Litchi', 'Drink', 'Enriched', 'with', 'Vitamin', 'D', 'No', 'Gmos', '600', 'ml']","['Paper', 'Boat', 'Swing', 'Lush', 'Lychee', 'Juice', 'Litchi', 'Drink', 'Enriched', 'with', 'Vitamin', 'D', 'No', 'Gmos', '600', 'ml']","['Paper', 'Boat', 'Swing', 'Lush', 'Lychee', 'Juice', 'Litchi', 'Drink', 'Enriched', 'Vitamin', 'Gmos', '600', 'ml']","[12, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 3, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4, 1, 5, 0, 1, 4, 8, 0, 1, 1, 3, 4, 2, 1, 0, 3, 2, 3, 2, 0, 1, 0, 1, 0]",4
Teamonk High Mountain Kashmiri Kahwa Green Tea  50 Biodegradable Pyramid Tea Bags Filled With Whole Loose Leaves,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71sO-rKUSYL._AC_UL320_.jpg,https://www.amazon.in/Teamonk-Nilgiri-Kashmiri-Kahwa-Green/dp/B07XMQPK4J/ref=sr_1_5923?qid=1679216437&s=grocery&sr=1-5923,"['Teamonk', 'High', 'Mountain', 'Kashmiri', 'Kahwa', 'Green', 'Tea', '50', 'Biodegradable', 'Pyramid', 'Tea', 'Bags', 'Filled', 'With', 'Whole', 'Loose', 'Leaves']","['Teamonk', 'High', 'Mountain', 'Kashmiri', 'Kahwa', 'Green', 'Tea', '50', 'Biodegradable', 'Pyramid', 'Tea', 'Bags', 'Filled', 'With', 'Whole', 'Loose', 'Leaves']","['Teamonk', 'High', 'Mountain', 'Kashmiri', 'Kahwa', 'Green', 'Tea', '50', 'Biodegradable', 'Pyramid', 'Tea', 'Bags', 'Filled', 'Whole', 'Loose', 'Leaves']","[15, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 1, 0, 0, 2, 2, 1, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 12, 1, 0, 4, 12, 0, 3, 4, 7, 0, 1, 4, 3, 4, 6, 0, 0, 4, 4, 1, 1, 1, 1, 0, 1, 0]",5
The Tea Planet Nutella Thick Milkshake Mix Powder  250gm,https://m.media-amazon.com/images/I/41cpAMmE6GL._AC_UL320_.jpg,https://www.amazon.in/Tea-Planet-Nutella-Thick-Shake/dp/B08PKY985T/ref=sr_1_7211?qid=1679216464&s=grocery&sr=1-7211,"['The', 'Tea', 'Planet', 'Nutella', 'Thick', 'Milkshake', 'Mix', 'Powder', '250gm']","['The', 'Tea', 'Planet', 'Nutella', 'Thick', 'Milkshake', 'Mix', 'Powder', '250gm']","['Tea', 'Planet', 'Nutella', 'Thick', 'Milkshake', 'Mix', 'Powder', '250gm']","[7, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 0, 1, 1, 5, 0, 1, 2, 3, 0, 3, 4, 1, 1, 1, 0, 0, 1, 1, 2, 1, 0, 1, 1, 0, 0]",0
NUTRICO Filter Coffee  100 Coffee  0 Chicory Traditional South Indian Filter Coffee Powder  Freshly Roasted Ground ,https://m.media-amazon.com/images/I/51Tt8mYlC8L._AC_UL320_.jpg,https://www.amazon.in/NUTRICO-Filter-Coffee-100-Traditional/dp/B0BYNJV2Q7/ref=sr_1_7203?qid=1679216464&s=grocery&sr=1-7203,"['NUTRICO', 'Filter', 'Coffee', '100', 'Coffee', '0', 'Chicory', 'Traditional', 'South', 'Indian', 'Filter', 'Coffee', 'Powder', 'Freshly', 'Roasted', 'Ground']","['NUTRICO', 'Filter', 'Coffee', '100', 'Coffee', '0', 'Chicory', 'Traditional', 'South', 'Indian', 'Filter', 'Coffee', 'Powder', 'Freshly', 'Roasted', 'Ground']","['NUTRICO', 'Filter', 'Coffee', '100', 'Coffee', '0', 'Chicory', 'Traditional', 'South', 'Indian', 'Filter', 'Coffee', 'Powder', 'Freshly', 'Roasted', 'Ground']","[15, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 1, 0, 2, 0, 0, 0, 0, 1, 1, 1, 0, 2, 1, 2, 1, 0, 0, 0, 0, 0, 4, 0, 1, 5, 11, 6, 0, 3, 6, 0, 0, 4, 0, 4, 9, 0, 0, 7, 2, 5, 2, 0, 1, 0, 2, 0]",6
Amrutanjan Rehydration Family Orange Kit Pack of 24,https://m.media-amazon.com/images/I/51O48R7frqS._AC_UL320_.jpg,https://www.amazon.in/Dummy-July-July76/dp/B07VN7SQFB/ref=sr_1_5992?qid=1679216439&s=grocery&sr=1-5992,"['Amrutanjan', 'Rehydration', 'Family', 'Orange', 'Kit', 'Pack', 'of', '24']","['Amrutanjan', 'Rehydration', 'Family', 'Orange', 'Kit', 'Pack', 'of', '24']","['Amrutanjan', 'Rehydration', 'Family', 'Orange', 'Kit', 'Pack', '24']","[6, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 1, 2, 0, 1, 1, 3, 1, 1, 1, 2, 4, 1, 0, 0, 3, 0, 3, 1, 0, 0, 0, 2, 0]",0
Cambridge Tea Party Rejuvinate 30 Tea Bags Ashwagandha Chamomile Ginger Lemon Mint Tulsi Green Tea immunity booster with,https://m.media-amazon.com/images/I/81poejIfZ3L._AC_UL320_.jpg,https://www.amazon.in/Cambridge-Tea-Party-Rejuvenate-Ashwagandha/dp/B09N8ZNHZV/ref=sr_1_3848?qid=1679216398&s=grocery&sr=1-3848,"['Cambridge', 'Tea', 'Party', 'Rejuvinate', '30', 'Tea', 'Bags', 'Ashwagandha', 'Chamomile', 'Ginger', 'Lemon', 'Mint', 'Tulsi', 'Green', 'Tea', 'immunity', 'booster', 'with']","['Cambridge', 'Tea', 'Party', 'Rejuvinate', '30', 'Tea', 'Bags', 'Ashwagandha', 'Chamomile', 'Ginger', 'Lemon', 'Mint', 'Tulsi', 'Green', 'Tea', 'immunity', 'booster', 'with']","['Cambridge', 'Tea', 'Party', 'Rejuvinate', '30', 'Tea', 'Bags', 'Ashwagandha', 'Chamomile', 'Ginger', 'Lemon', 'Mint', 'Tulsi', 'Green', 'Tea', 'immunity', 'booster']","[16, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 4, 0, 0, 0, 0, 0, 0, 11, 2, 0, 2, 12, 0, 4, 3, 8, 1, 0, 2, 6, 7, 4, 0, 0, 5, 4, 5, 3, 1, 1, 0, 2, 0]",5
Real Fruit Power Mixed Fruit Juice 1L No Added Preservatives,https://m.media-amazon.com/images/I/718s5Hnzt-L._AC_UL320_.jpg,https://www.amazon.in/Real-Fruit-Power-Mixed-1L/dp/B013P5X7XI/ref=sr_1_79?qid=1679216334&s=grocery&sr=1-79,"['Real', 'Fruit', 'Power', 'Mixed', 'Fruit', 'Juice', '1L', 'No', 'Added', 'Preservatives']","['Real', 'Fruit', 'Power', 'Mixed', 'Fruit', 'Juice', '1L', 'No', 'Added', 'Preservatives']","['Real', 'Fruit', 'Power', 'Mixed', 'Fruit', 'Juice', '1L', 'Added', 'Preservatives']","[8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 1, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 4, 8, 0, 0, 0, 5, 0, 0, 1, 0, 0, 1, 0, 0, 5, 2, 3, 3, 2, 1, 1, 0, 0]",9
